country,org_name,,,
USFederal,usnistgov,,,
USFederal,USPS,,,
USFederal,usstatedept,,,
USFederal,vainnovation,,,
USFederal,VHAINNOVATIONS,,,
USFederal,virtual-world-framework,,,
USFederal,visionworkbench,,,
USFederal,WFMRDA,,,
USFederal,whitehouse,,,
USSpecialDistrict,atlregional,,,
USSpecialDistrict,AZMAG,,,
USSpecialDistrict,baaqmd,,,
USSpecialDistrict,cleveland-metroparks,,,
USSpecialDistrict,CMAP-REPOS,,,
USSpecialDistrict,MetropolitanCouncil,,,
USSpecialDistrict,MetropolitanTransportationCommission,,,
USSpecialDistrict,portofsandiego,,,
USSpecialDistrict,psrc,,,
USStates,agrc,,,
USStates,azgs,,,
USStates,ccap,,,
USStates,CTOpenData,,,
USStates,DCGovWeb,,,
USStates,FGS-FloridaGeologicalSurvey,,,
USStates,IDAHO-DOC-NCOMS,,,
USStates,idahofishgame,,,
USStates,InDEM,,,
USStates,LADCO,,,
USStates,LibraryofVA,,,
USStates,MFWP-GIS,,,
USStates,nelegislature,,,
USStates,NJOGIS,,,
USStates,nys-its,,,
USStates,nysenate,,,
USStates,ORMetro,,,
USStates,SLNC-DIMP,,,
USStates,State-of-Arizona,,,
USStates,tndcs,,,
USStates,TNRIS,,,
USStates,twdb,,,
USStates,TxDOT,,,
USStates,UtahForestryFireStateLands,,,
USStates,VDGIF,,,
USStates,Virginia-House-of-Delegates,,,
USStates,WA-OCIO,,,
USStates,WisconsinDPI,,,
USStates,wsdot,,,
USStates,WSDOT-GIS,,,
USTribalNations,coquille-indian-tribe,,,
UK,alphagov,,,
UK,BarnsleyCouncil,,,
UK,BEACmodel,,,
UK,brighton-hove-gov-uk,,,
UK,BristolCityCouncil,,,
UK,cabinetoffice,,,
UK,CarersBeta,,,
UK,companieshouse,,,
UK,datagovuk,,,
UK,decc,,,
UK,Department-for-Work-and-Pensions,,,
UK,DevonCountyCouncil,,,
UK,dfid,,,
UK,digital-preservation,,,
UK,DundeeCityCouncil,,,
UK,dvla,,,
UK,east-sussex-county-council,,,
UK,edinburghcouncil,,,
UK,EnvHack2,,,
UK,EnvironmentAgency,,,
UK,gds-attic,,,
UK,gds-operations,,,
UK,guidance-guarantee-programme,,,
UK,GuildfordBC,,,
UK,HfdsCouncil,,,
UK,hmrc,,,
UK,intellectual-property-office,,,
UK,IQuOD,,,
UK,JNCC-UK,,,
UK,kentcc,,,
UK,LambethCouncil,,,
UK,LandRegistry,,,
UK,LandRegistry-Attic,,,
UK,lgss,,,
UK,lichfield-district-council,,,
UK,LocalGovDigital,,,
UK,LutonCouncil,,,
UK,MetOffice,,,
UK,metomi,,,
UK,ministryofjustice,,,
UK,naouk,,,
UK,OfqualGovUK,,,
UK,ONSdigital,,,
UK,osgeouk,,,
UK,RotherDC,,,
UK,scottishgovernment,,,
UK,TraffordCouncil,,,
UK,UKHomeOffice,,,
UK,UKLocation,,,
UK,warwickshire,,,
UK,west-berkshire-council,,,
